INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_itertools.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1730590523.4677866
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1730590523.356855
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1730590523.3310764
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1730590523.356855
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\inspect.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\views\static.py first seen with mtime 1730590523.5064423
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Program Files\JetBrains\PyCharm 2024.2.4\plugins\python-ce\helpers\pycharm_display\datalore\display\display_.py first seen with mtime 1729624908.0
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1730590523.5064423
DEBUG 2024-12-01 16:19:42,654 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\email\mime\text.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,654 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1730590523.298869
DEBUG 2024-12-01 16:19:42,654 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1730590523.4838107
